Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.29021516,-0.45536274,-0.73961216,0.40173846,0.17453292
22,0.2889233,-0.45544726,-0.74022925,0.4014372,0.17453292
43,0.288105,-0.45439997,-0.7409583,0.40186685,0.17453292
62,0.2883244,-0.45350382,-0.74133813,0.40202132,0.17453292
82,0.28882042,-0.45268127,-0.7417925,0.40175405,0.17453292
102,0.28947905,-0.45193112,-0.7421783,0.40141192,0.17453292
123,0.28990522,-0.45170414,-0.74240845,0.40093398,0.17453292
142,0.290359,-0.4518013,-0.7423976,0.4005159,0.17453292
162,0.2905963,-0.45187062,-0.7424455,0.4001767,0.17453292
182,0.29081744,-0.45152315,-0.74251604,0.40027735,0.17453292
202,0.2906011,-0.4514268,-0.7425987,0.40038982,0.17453292
223,0.29002237,-0.451694,-0.7425369,0.40062267,0.17453292
242,0.28951225,-0.4519302,-0.74235564,0.40106097,0.17453292
262,0.28901708,-0.45226386,-0.7420858,0.40154096,0.17453292
282,0.28840682,-0.45290998,-0.74168354,0.40199453,0.17453292
303,0.28810558,-0.45344502,-0.7410241,0.40282264,0.17453292
323,0.28841013,-0.45267245,-0.7408138,0.40385905,0.17453292
342,0.2891569,-0.45121834,-0.74078447,0.40500456,0.17453292
363,0.2901381,-0.4500353,-0.7404386,0.40624967,0.17453292
382,0.29086062,-0.45004594,-0.7398323,0.40682545,0.17453292
403,0.29138482,-0.45084202,-0.73921996,0.4066819,0.17453292
422,0.2918463,-0.4509996,-0.7388659,0.40681976,0.17453292
442,0.29217887,-0.45034546,-0.7388989,0.40724552,0.17453292
462,0.29202688,-0.4499847,-0.739212,0.4071851,0.17453292
483,0.2917177,-0.45022282,-0.739436,0.40673658,0.17453292
502,0.291544,-0.45050788,-0.73937464,0.40665695,0.17453292
523,0.29167327,-0.45059362,-0.7389717,0.40720135,0.17453292
542,0.29204527,-0.450554,-0.7385656,0.40771496,0.17453292
562,0.29244056,-0.44999704,-0.7386244,0.40794012,0.17453292
583,0.29254177,-0.44858146,-0.7393754,0.40806612,0.17453292
602,0.29246184,-0.44789755,-0.7398841,0.40795276,0.17453292
622,0.29261062,-0.44755986,-0.7401927,0.40765664,0.17453292
643,0.293223,-0.4476229,-0.7400972,0.4073207,0.17453292
662,0.29418004,-0.44769925,-0.7400105,0.40670377,0.17453292
682,0.2944164,-0.4471315,-0.7406467,0.4059986,0.17453292
703,0.29445174,-0.44576958,-0.74165523,0.40562934,0.17453292
722,0.29421583,-0.44478413,-0.7424007,0.40551856,0.17453292
743,0.29349378,-0.4435211,-0.7434381,0.4055246,0.17453292
762,0.2930065,-0.44246766,-0.7441573,0.40570855,0.17453292
782,0.29252842,-0.4415427,-0.7449185,0.40566432,0.17453292
802,0.2921113,-0.44094583,-0.74552596,0.40549824,0.17453292
823,0.29135793,-0.44042218,-0.7462448,0.40528706,0.17453292
843,0.290799,-0.44048405,-0.7464709,0.40520474,0.17453292
862,0.29043204,-0.44092843,-0.7463823,0.40514794,0.17453292
882,0.29079276,-0.4415147,-0.7460471,0.40486804,0.17453292
903,0.29144233,-0.4422922,-0.7458402,0.40393242,0.17453292
922,0.29227924,-0.4432178,-0.745811,0.40236405,0.17453292
942,0.29388487,-0.44470036,-0.7455378,0.40005824,0.17453292
963,0.29595685,-0.4469764,-0.7453007,0.39641955,0.17453292
982,0.29689762,-0.44845706,-0.74521846,0.39419225,0.17453292
1002,0.29802725,-0.45464996,-0.7463866,0.38390136,0.17453292
1022,0.29627824,-0.46142057,-0.7486165,0.37267092,0.17453292
1043,0.29252943,-0.4700973,-0.751216,0.3593182,0.17453292
1062,0.29019415,-0.4781844,-0.7522392,0.3482287,0.17453292
1082,0.2913165,-0.4831206,-0.7527589,0.33923912,0.17453292
1103,0.29283282,-0.4852488,-0.75541365,0.3288355,0.17453292
1122,0.29357725,-0.48391572,-0.760452,0.3183564,0.17453292
1142,0.29129508,-0.47810012,-0.7686347,0.30946437,0.17453292
1163,0.28171796,-0.46846202,-0.78128874,0.30127427,0.17453292
1182,0.26490232,-0.45356596,-0.7980007,0.29546502,0.17453292
1202,0.24004191,-0.43289304,-0.8178911,0.2933217,0.17453292
1223,0.20644967,-0.40653893,-0.840294,0.2932757,0.17453292
1242,0.16284686,-0.37505528,-0.8638565,0.29422167,0.17453292
1263,0.105875,-0.3417117,-0.8857578,0.29573086,0.17453292
1282,0.04215236,-0.31120315,-0.90059906,0.30049476,0.17453292
1302,-0.008472864,-0.28939813,-0.9032334,0.31677487,0.17453292
1322,-0.050448466,-0.27918112,-0.8971431,0.33859575,0.17453292
1342,-0.09992549,-0.27712825,-0.8851268,0.36022958,0.17453292
1363,-0.16775988,-0.2788416,-0.8628581,0.3867556,0.17453292
1382,-0.2036734,-0.27962825,-0.8478951,0.40174508,0.17453292
1402,-0.25071275,-0.28148374,-0.82242906,0.42605212,0.17453292
1422,-0.28466773,-0.2857996,-0.7996044,0.44487712,0.17453292
1443,-0.3234948,-0.29361284,-0.7727531,0.4604294,0.17453292
1462,-0.35900283,-0.30588853,-0.7450009,0.47172323,0.17453292
1482,-0.38409942,-0.32560533,-0.71677274,0.48237503,0.17453292
1503,-0.40126497,-0.3528846,-0.6871311,0.49224964,0.17453292
1522,-0.41766062,-0.3864225,-0.65343857,0.49925476,0.17453292
1542,-0.43173712,-0.4246017,-0.61681366,0.5028492,0.17453292
1563,-0.4482333,-0.4714278,-0.5737419,0.49765748,0.17453292
