Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2018-09-11 16:52:45,3,0.17257103,0.23738997,0.79874176,0.5252398,0.2617994
2018-09-11 16:52:45,24,0.17264023,0.23881838,0.797767,0.5260503,0.2617994
2018-09-11 16:52:45,41,0.17269193,0.24091488,0.7965151,0.5269736,0.2617994
2018-09-11 16:52:45,61,0.17430137,0.2427813,0.79490525,0.528017,0.2617994
2018-09-11 16:52:45,81,0.177198,0.24413697,0.7931607,0.52905023,0.2617994
2018-09-11 16:52:45,102,0.17935699,0.24524318,0.791847,0.5297785,0.2617994
2018-09-11 16:52:45,121,0.18225665,0.24721397,0.78999835,0.5306321,0.2617994
2018-09-11 16:52:45,141,0.18374003,0.24897559,0.7886884,0.5312451,0.2617994
2018-09-11 16:52:45,162,0.18523021,0.25103554,0.7869907,0.5322749,0.2617994
2018-09-11 16:52:45,181,0.18699309,0.25279644,0.78510326,0.53361076,0.2617994
2018-09-11 16:52:45,201,0.18830481,0.25403863,0.7835239,0.5348794,0.2617994
2018-09-11 16:52:45,223,0.18944408,0.2550878,0.7820991,0.5360617,0.2617994
2018-09-11 16:52:45,242,0.19128935,0.2561498,0.78061104,0.537068,0.2617994
2018-09-11 16:52:46,261,0.19434625,0.25746876,0.77878845,0.537985,0.2617994
2018-09-11 16:52:46,281,0.19828892,0.25851583,0.776565,0.53925675,0.2617994
2018-09-11 16:52:46,302,0.20139791,0.2590299,0.7745576,0.54074293,0.2617994
2018-09-11 16:52:46,321,0.20336129,0.2590789,0.77307606,0.54210305,0.2617994
2018-09-11 16:52:46,341,0.2053368,0.25910765,0.7714773,0.5436201,0.2617994
2018-09-11 16:52:46,362,0.20797428,0.25961646,0.76920855,0.5455861,0.2617994
2018-09-11 16:52:46,381,0.21139343,0.26021653,0.7660535,0.5484179,0.2617994
2018-09-11 16:52:46,401,0.2154038,0.26175737,0.7622166,0.55146176,0.2617994
2018-09-11 16:52:46,423,0.22090413,0.2657376,0.7574417,0.5539558,0.2617994
2018-09-11 16:52:46,442,0.22980791,0.2729417,0.75066394,0.55605286,0.2617994
2018-09-11 16:52:46,461,0.244454,0.27505395,0.741785,0.5606627,0.2617994
2018-09-11 16:52:46,482,0.2605328,0.27172852,0.7347842,0.56425035,0.2617994
2018-09-11 16:52:46,502,0.27647558,0.26494852,0.73113036,0.5646343,0.2617994
2018-09-11 16:52:46,522,0.29275948,0.25869477,0.72796375,0.56341606,0.2617994
2018-09-11 16:52:46,541,0.314829,0.2519332,0.7233439,0.5605229,0.2617994
2018-09-11 16:52:46,561,0.34295574,0.23747662,0.717142,0.55829525,0.2617994
2018-09-11 16:52:46,582,0.3729833,0.21375589,0.710792,0.5567465,0.2617994
2018-09-11 16:52:46,601,0.40466735,0.18603674,0.70296043,0.55451,0.2617994
2018-09-11 16:52:46,622,0.4536221,0.15168408,0.6842449,0.55047965,0.2617994
2018-09-11 16:52:46,643,0.5289282,0.108258024,0.6470889,0.53832245,0.2617994
2018-09-11 16:52:46,661,0.59473145,0.07965789,0.608,0.51988953,0.2617994
2018-09-11 16:52:46,681,0.6433439,0.054464318,0.57714,0.5000517,0.2617994
2018-09-11 16:52:46,702,0.6939759,0.016271856,0.540911,0.4749188,0.2617994
2018-09-11 16:52:46,723,0.7196885,-0.009064462,0.52102697,0.45879975,0.2617994
2018-09-11 16:52:46,741,0.7507857,-0.04842385,0.4923789,0.43765166,0.2617994
2018-09-11 16:52:46,761,0.7757214,-0.09466504,0.46733785,0.4133887,0.2617994
2018-09-11 16:52:46,781,0.7929029,-0.14998694,0.45291907,0.3790426,0.2617994
2018-09-11 16:52:46,803,0.7962351,-0.17589349,0.4552255,0.35754853,0.2617994
2018-09-11 16:52:46,821,0.7926879,-0.21817909,0.47065064,0.3202059,0.2617994
2018-09-11 16:52:46,842,0.785628,-0.25178158,0.48740032,0.28606915,0.2617994
2018-09-11 16:52:46,861,0.78078634,-0.27430356,0.49977803,0.25564075,0.2617994
2018-09-11 16:52:46,881,0.7800411,-0.29942897,0.5139096,0.1943583,0.2617994
2018-09-11 16:52:46,902,0.7853396,-0.31266645,0.51702416,0.13478678,0.2617994
2018-09-11 16:52:46,921,0.78871346,-0.32225823,0.51625276,0.08696998,0.2617994
2018-09-11 16:52:46,941,0.79025793,-0.33858597,0.5107028,0.0058810045,0.2617994
2018-09-11 16:52:46,961,-0.7893671,0.34318608,-0.5057339,0.057932064,0.2617994
2018-09-11 16:52:46,981,-0.79228014,0.3358,-0.49599928,0.1162552,0.2617994
2018-09-11 16:52:46,1002,-0.7993084,0.32098544,-0.48320135,0.15681483,0.2617994
2018-09-11 16:52:46,1021,-0.79887974,0.3296551,-0.47969913,0.15168177,0.2617994
2018-09-11 16:52:46,1041,-0.785959,0.3482861,-0.49348763,0.13204223,0.2617994
2018-09-11 16:52:46,1062,-0.77865535,0.35348824,-0.5039396,0.121600926,0.2617994
2018-09-11 16:52:46,1082,-0.7809583,0.3485069,-0.5049719,0.116835214,0.2617994
2018-09-11 16:52:46,1101,-0.79119873,0.3377873,-0.49755257,0.111111395,0.2617994
2018-09-11 16:52:46,1121,-0.8076373,0.32204324,-0.4842372,0.09759379,0.2617994
2018-09-11 16:52:46,1141,-0.82026,0.30855843,-0.47504485,0.0793574,0.2617994
2018-09-11 16:52:46,1161,-0.8236374,0.30128917,-0.4768998,0.058418877,0.2617994
2018-09-11 16:52:46,1181,-0.8231076,0.2976237,-0.48259494,0.031876422,0.2617994
2018-09-11 16:52:46,1201,-0.82162994,0.29560924,-0.48737347,0.0025621634,0.2617994
2018-09-11 16:52:46,1222,0.82275593,-0.2936045,0.48617285,0.022472711,0.2617994
2018-09-11 16:52:46,1241,0.8289263,-0.292022,0.4752895,0.04128257,0.2617994
2018-09-11 16:52:47,1262,0.8335385,-0.2922682,0.465735,0.053701602,0.2617994
2018-09-11 16:52:47,1281,0.8346201,-0.2915914,0.46225998,0.068552464,0.2617994
2018-09-11 16:52:47,1301,0.83675015,-0.28971708,0.45628902,0.087826565,0.2617994
