Milliseconds,Degrees
2,0.0
100,0.0
200,0.0
300,0.0
401,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1001,0.0
1100,0.0
1200,0.0
1300,0.0
1401,0.0
1500,0.0
1600,0.0
1701,0.0
1801,0.0
1900,0.0
2000,0.0
2100,0.0
2201,0.0
2300,0.0
2400,0.0
2500,0.0
2601,0.0
2700,0.0
2800,0.0
2900,0.0
3000,0.0
3100,0.0
3200,0.0
3301,0.0
3400,0.0
3500,0.0
3600,0.0
3700,0.0
3801,0.0
3900,0.0
4001,0.0
4100,0.0
4201,0.0
4300,0.0
4401,0.0
4500,0.0
4600,0.0
4700,0.0
4801,0.0
4900,0.0
5000,0.0
5101,0.0
5200,0.0
5300,0.0
5401,0.0
5500,0.0
5600,0.0
5701,0.0
5800,0.0
5900,0.0
6000,0.0
6101,0.0
6200,0.0
6300,0.0
6400,0.0
6501,0.0
6600,0.0
6700,0.0
6801,0.0
6900,0.0
7000,0.0
7100,0.0
7201,0.0
7300,0.0
7400,0.0
7500,0.0
7601,0.0
7700,0.0
7800,0.0
7900,0.0
8000,0.0
8101,0.0
8200,0.0
8300,0.0
8400,0.0
8501,0.0
8600,0.0
8700,0.0
8800,0.0
8901,0.0
9000,0.0
9100,0.0
9201,0.0
9300,0.0
9400,0.0
9501,0.0
9600,0.0
9700,0.0
9800,0.0
9901,0.0
10000,0.0
10100,0.0
10200,0.0
10300,0.0
10400,0.0
10500,0.0
10601,0.0
10700,0.0
10800,0.0
10900,0.0
11000,0.0
11100,0.0
11200,0.0
11300,0.0
11401,0.0
11500,0.0
11600,0.0
11700,0.0
11800,0.0
11901,0.0
12000,0.0
12100,0.0
12200,0.0
12301,0.0
12400,0.0
12501,0.0
12600,0.0
12700,0.0
12801,0.0
12900,0.0
13000,0.0
13101,0.0
13200,0.0
13300,0.0
13400,0.0
13501,0.0
13600,0.0
13700,0.0
13800,0.0
13900,0.0
14000,0.0
14100,0.0
14200,0.0
14300,0.0
14401,0.0
14500,0.0
14600,0.0
14700,0.0
14801,0.0
14900,0.0
15000,0.0
15100,0.0
15201,0.0
15300,0.0
15400,0.0
15500,0.0
15601,0.0
15700,0.0
15800,0.0
15901,0.0
16000,0.0
16100,0.0
16201,0.0
16300,0.0
16400,0.0
16501,0.0
16600,0.0
16700,0.0
16800,0.0
16901,0.0
17000,0.0
17100,0.0
17201,0.0
17300,0.0
17400,0.0
17501,0.0
17600,0.0
17700,0.0
17801,0.0
17900,0.0
18000,0.0
18100,0.0
18201,0.0
18300,0.0
18400,0.0
18500,0.0
18601,0.0
18700,0.0
18800,0.0
18900,0.0
19000,0.0
19101,0.0
19200,0.0
19300,0.0
19400,0.0
19501,0.0
19600,0.0
19700,0.0
19801,0.0
19900,0.0
20000,0.0
20100,0.0
20200,0.0
20301,0.0
20400,0.0
20500,0.0
20601,0.0
