Milliseconds,X,Y,Z,cos,headingAccuracy
1,0.38124368,0.30570167,0.41262275,0.76872766,0.17453292
21,0.3806667,0.30337933,0.41276565,0.76985604,0.17453292
42,0.37943178,0.30259463,0.41328028,0.77049816,0.17453292
61,0.3782872,0.30214435,0.413833,0.7709409,0.17453292
81,0.37774965,0.3018055,0.41378,0.7713655,0.17453292
102,0.37754166,0.30166292,0.41348305,0.77168226,0.17453292
121,0.37727484,0.30156943,0.41298547,0.77211565,0.17453292
141,0.37676272,0.301477,0.41255763,0.7726304,0.17453292
162,0.37620798,0.30145472,0.41187328,0.7732742,0.17453292
181,0.37555033,0.30167672,0.41112635,0.77390456,0.17453292
201,0.3749111,0.30173403,0.41057828,0.77448285,0.17453292
222,0.3743677,0.30170187,0.4104388,0.77483207,0.17453292
241,0.37403664,0.30152392,0.41044956,0.7750555,0.17453292
261,0.37383533,0.3011474,0.41064152,0.7751974,0.17453292
282,0.3736723,0.30083245,0.41098022,0.7752187,0.17453292
301,0.37353382,0.30076027,0.4114098,0.7750856,0.17453292
322,0.3738288,0.3004505,0.41150004,0.77501565,0.17453292
341,0.37420037,0.29992902,0.41164815,0.7749597,0.17453292
361,0.3740428,0.29949605,0.41205996,0.7749843,0.17453292
381,0.37345335,0.2996279,0.41246504,0.7750021,0.17453292
402,0.37330824,0.29998198,0.41249916,0.7749169,0.17453292
421,0.37382504,0.300155,0.4119268,0.77490526,0.17453292
441,0.3738172,0.30023408,0.41162914,0.7750365,0.17453292
462,0.3730869,0.3003393,0.41165194,0.7753355,0.17453292
481,0.37216964,0.30011564,0.41168064,0.77584755,0.17453292
501,0.37127566,0.2995646,0.4116974,0.77647966,0.17453292
521,0.3708179,0.29914692,0.4117739,0.7768188,0.17453292
542,0.37085727,0.29889864,0.41176838,0.7768985,0.17453292
561,0.37097493,0.29882205,0.41146493,0.77703255,0.17453292
581,0.37108248,0.2986333,0.41083038,0.77738947,0.17453292
602,0.37065008,0.2985111,0.41022146,0.777964,0.17453292
621,0.37014207,0.29822758,0.40992355,0.77847147,0.17453292
641,0.3691588,0.2975994,0.409581,0.77935857,0.17453292
661,0.3678809,0.29721147,0.40934938,0.7802321,0.17453292
682,0.36731383,0.29725513,0.40910417,0.7806111,0.17453292
701,0.36692378,0.2974411,0.40894905,0.780805,0.17453292
721,0.3666126,0.29748258,0.40885156,0.78098637,0.17453292
741,0.36620224,0.29715255,0.40890247,0.78127784,0.17453292
762,0.3656598,0.29702774,0.4084275,0.78182757,0.17453292
781,0.36508912,0.29720587,0.4079474,0.78227717,0.17453292
801,0.36375326,0.29759145,0.40731236,0.7830833,0.17453292
822,0.36281657,0.29777363,0.40696865,0.78362715,0.17453292
841,0.36181378,0.29897752,0.40612993,0.7840674,0.17453292
861,0.3610725,0.29977092,0.40520978,0.7845821,0.17453292
881,0.36064717,0.29954705,0.4046787,0.7851371,0.17453292
902,0.36034414,0.29925728,0.40416563,0.7856509,0.17453292
922,0.3600626,0.2991932,0.40361595,0.78608686,0.17453292
941,0.35952914,0.29883167,0.40311062,0.78672755,0.17453292
961,0.35918394,0.29857463,0.4024744,0.78730834,0.17453292
981,0.35909063,0.29830903,0.40194884,0.78771996,0.17453292
1001,0.3590638,0.298472,0.401487,0.787906,0.17453292
1021,0.35876858,0.2983789,0.4009903,0.7883285,0.17453292
1041,0.35812718,0.29813775,0.40023032,0.78909725,0.17453292
1061,0.3572473,0.29786164,0.39952824,0.7899557,0.17453292
1082,0.35644177,0.29804158,0.3988362,0.79060113,0.17453292
1101,0.3558816,0.29877025,0.39817533,0.7909115,0.17453292
1121,0.355952,0.29941648,0.39727783,0.7910868,0.17453292
1142,0.35663676,0.2994117,0.39613077,0.7913553,0.17453292
1161,0.356896,0.29896903,0.39517495,0.7918835,0.17453292
1181,0.35635966,0.2983717,0.39458203,0.79264563,0.17453292
1201,0.35525724,0.2979372,0.39436093,0.79341364,0.17453292
1222,0.35417882,0.29777735,0.39415902,0.7940558,0.17453292
1241,0.3533219,0.2978597,0.39425772,0.79435766,0.17453292
1262,0.35293484,0.29753992,0.39399612,0.79477924,0.17453292
1281,0.35225302,0.297005,0.39410445,0.79522794,0.17453292
1302,0.35112226,0.29665637,0.3944121,0.7957055,0.17453292
1321,0.35009626,0.29665276,0.39443755,0.7961462,0.17453292
1341,0.3495355,0.296781,0.39414793,0.79648817,0.17453292
1362,0.3493813,0.29693264,0.3937645,0.7966889,0.17453292
1381,0.34931692,0.29694086,0.39355958,0.79681534,0.17453292
1401,0.34889233,0.29654977,0.39338785,0.7972317,0.17453292
1421,0.34756422,0.2958235,0.39363226,0.79796064,0.17453292
1442,0.3464624,0.29554892,0.39393234,0.79839337,0.17453292
1461,0.34600633,0.29559684,0.39415663,0.7984627,0.17453292
1481,0.34602895,0.29581508,0.39416125,0.79836977,0.17453292
1502,0.34590316,0.29581398,0.39425206,0.79837984,0.17453292
1521,0.34539422,0.295669,0.39446756,0.79854745,0.17453292
1541,0.3437258,0.29496077,0.39458057,0.79947287,0.17453292
1561,0.34180623,0.29431975,0.39467394,0.8004854,0.17453292
1581,0.34047008,0.29348835,0.3950207,0.8011887,0.17453292
1601,0.33969998,0.2928689,0.39551908,0.8014963,0.17453292
1621,0.33901024,0.29243806,0.39577773,0.80181795,0.17453292
1641,0.3384332,0.2919028,0.39613625,0.8020797,0.17453292
1662,0.33844227,0.29086754,0.39617378,0.8024333,0.17453292
1681,0.33861133,0.28989884,0.39621952,0.80268997,0.17453292
1701,0.33899352,0.28910798,0.3960621,0.8028915,0.17453292
1721,0.33988222,0.28793842,0.39577907,0.8030756,0.17453292
1742,0.34168255,0.28618085,0.3949366,0.8033546,0.17453292
1761,0.34383625,0.2844613,0.39328596,0.8038561,0.17453292
1781,0.3456142,0.2825138,0.3916026,0.80460185,0.17453292
1802,0.34673792,0.2812131,0.39037547,0.8051702,0.17453292
1821,0.34803775,0.2797171,0.38883185,0.8058771,0.17453292
1841,0.34998277,0.2787989,0.3862389,0.8065995,0.17453292
1861,0.35328972,0.27806273,0.38262466,0.80713433,0.17453292
1882,0.35877362,0.27656826,0.37740615,0.8076856,0.17453292
1901,0.36541143,0.2743613,0.3712664,0.8083079,0.17453292
1921,0.3713815,0.2717888,0.36552197,0.80907375,0.17453292
1942,0.3751765,0.2682255,0.36137885,0.8103722,0.17453292
