Milliseconds,X,Y,Z,cos,headingAccuracy
1841,0.15525706,-0.79315394,0.1520942,0.5689195,0.17453292
1861,0.16081913,-0.8060491,0.15605204,0.54778624,0.17453292
1881,0.15911789,-0.80862635,0.15773435,0.54398966,0.17453292
1902,0.1551818,-0.8086836,0.15612273,0.54550457,0.17453292
1921,0.15395766,-0.80831766,0.15189911,0.5475822,0.17453292
1941,0.1590618,-0.8076391,0.14627567,0.54865456,0.17453292
1961,0.16903995,-0.8033389,0.1422551,0.5530241,0.17453292
1982,0.18016328,-0.7932401,0.13917972,0.56474805,0.17453292
2001,0.18967928,-0.77912396,0.13364482,0.58234584,0.17453292
2021,0.19784634,-0.76448977,0.12501493,0.6006526,0.17453292
2041,0.20699224,-0.7526852,0.11594124,0.61414725,0.17453292
2062,0.21774584,-0.74608135,0.10769613,0.61996037,0.17453292
2081,0.22829309,-0.74360013,0.102588065,0.62001354,0.17453292
2101,0.2367171,-0.74346066,0.10249633,0.6170298,0.17453292
2121,0.24433164,-0.74692017,0.105332,0.60935825,0.17453292
2142,0.25015098,-0.75394714,0.10890856,0.5976012,0.17453292
2161,0.2515972,-0.76363397,0.11223404,0.58392256,0.17453292
2181,0.25005272,-0.77370304,0.117920496,0.57004565,0.17453292
2202,0.24725583,-0.78481436,0.12470705,0.55441785,0.17453292
2221,0.24477062,-0.7958172,0.13155966,0.53800964,0.17453292
2241,0.24263905,-0.8054391,0.13614595,0.52331483,0.17453292
2261,0.23864706,-0.81168205,0.13632491,0.51539826,0.17453292
2282,0.2326106,-0.81245923,0.13469222,0.51735896,0.17453292
2301,0.22602656,-0.8090782,0.13174723,0.52625763,0.17453292
2321,0.21944484,-0.8056848,0.1270642,0.53532296,0.17453292
2342,0.21505529,-0.8036757,0.12307868,0.5410251,0.17453292
2361,0.2143197,-0.804263,0.12137833,0.54082847,0.17453292
2381,0.2143829,-0.8054247,0.12323167,0.5386511,0.17453292
2401,0.2144757,-0.80748016,0.1268122,0.53469115,0.17453292
2422,0.21284111,-0.8111039,0.127752,0.5296117,0.17453292
2441,0.20915009,-0.8136482,0.12724246,0.527297,0.17453292
2462,0.2076639,-0.8137377,0.1274751,0.52769,0.17453292
2481,0.21020435,-0.8135234,0.12839776,0.5267901,0.17453292
2502,0.2140218,-0.81404436,0.12885483,0.5243309,0.17453292
2521,0.2160534,-0.8143374,0.13100478,0.5225067,0.17453292
2541,0.21628363,-0.8166123,0.13603494,0.5175522,0.17453292
2562,0.214117,-0.8208861,0.14168444,0.51012295,0.17453292
2581,0.20908321,-0.82354754,0.14853661,0.50595504,0.17453292
2601,0.19981155,-0.8236498,0.15399452,0.5078996,0.17453292
2622,0.18284597,-0.8226066,0.1594475,0.51425886,0.17453292
2641,0.17158289,-0.8227357,0.16337185,0.5166961,0.17453292
2661,0.14991993,-0.82354397,0.17191781,0.5193685,0.17453292
2681,0.12913069,-0.82410127,0.1806623,0.5210984,0.17453292
2702,0.10999348,-0.8269294,0.1882915,0.5183006,0.17453292
2721,0.09073907,-0.8311336,0.19587415,0.51246136,0.17453292
2741,0.07071134,-0.83877563,0.20270549,0.5003657,0.17453292
2762,0.057635687,-0.8494251,0.21282007,0.4794401,0.17453292
2781,0.05183681,-0.8580007,0.22681768,0.4579318,0.17453292
2801,0.048536643,-0.86286795,0.2405834,0.4418402,0.17453292
2822,0.04702987,-0.86559826,0.25154546,0.43040997,0.17453292
2841,0.04330724,-0.8675568,0.25893745,0.42239922,0.17453292
2861,0.037969634,-0.8694845,0.26270762,0.41658098,0.17453292
2881,0.031236589,-0.87204266,0.26414198,0.41084656,0.17453292
2902,0.026218617,-0.87706995,0.26678884,0.39860332,0.17453292
2921,0.024754202,-0.88064504,0.27164105,0.3873792,0.17453292
2941,0.026228502,-0.88285935,0.27542588,0.37948915,0.17453292
2962,0.027642226,-0.88360876,0.27584842,0.37733164,0.17453292
2981,0.02553158,-0.8822104,0.26954615,0.3852244,0.17453292
3001,0.022021355,-0.88187885,0.2586584,0.39357418,0.17453292
3021,0.008659497,-0.88686407,0.2538442,0.38595378,0.17453292
3042,-0.0074212938,-0.8871303,0.25595996,0.38396508,0.17453292
3061,-0.015290794,-0.8847969,0.26054892,0.3860244,0.17453292
3081,-0.016425269,-0.88538134,0.26189798,0.38371804,0.17453292
3101,-0.017151335,-0.8861633,0.26248154,0.38147587,0.17453292
3122,-0.017479775,-0.8864586,0.2625653,0.3807166,0.17453292
3141,-0.014729966,-0.8868588,0.26244786,0.37998095,0.17453292
3161,-0.010344639,-0.8877562,0.2606042,0.37929845,0.17453292
3182,-0.010276868,-0.88886297,0.2555779,0.3801276,0.17453292
3201,-0.013516891,-0.889549,0.25066543,0.38168928,0.17453292
3222,-0.017623229,-0.889446,0.24875467,0.38300958,0.17453292
3241,-0.019946018,-0.88960105,0.25035393,0.3814906,0.17453292
3261,-0.020861952,-0.8901647,0.25292185,0.3784206,0.17453292
3282,-0.021806665,-0.8931745,0.25221694,0.37168577,0.17453292
3301,-0.023957435,-0.8951884,0.24834101,0.36931086,0.17453292
3321,-0.02891628,-0.8946894,0.25028473,0.36885276,0.17453292
3342,-0.036005784,-0.89376605,0.25994602,0.36374977,0.17453292
3361,-0.045603685,-0.89126325,0.26986212,0.36158612,0.17453292
3381,-0.057476796,-0.8901422,0.272219,0.36088789,0.17453292
3402,-0.06780122,-0.8910171,0.27043325,0.35827,0.17453292
3421,-0.07349927,-0.8915629,0.269087,0.35679927,0.17453292
3442,-0.07387804,-0.8918709,0.2682897,0.35655153,0.17453292
3461,-0.07262072,-0.8920729,0.268524,0.35612774,0.17453292
3481,-0.0717176,-0.8922684,0.26887763,0.3555538,0.17453292
3501,-0.071857534,-0.89264476,0.26790836,0.35531244,0.17453292
3521,-0.07242951,-0.89294344,0.26779208,0.35453257,0.17453292
3541,-0.07301151,-0.89344853,0.26677603,0.35390615,0.17453292
3562,-0.07275304,-0.89435107,0.26402736,0.3537411,0.17453292
3581,-0.07208553,-0.8948595,0.2630892,0.35329056,0.17453292
3601,-0.071889736,-0.8949339,0.2638628,0.35256445,0.17453292
3622,-0.073067695,-0.89528126,0.26449874,0.3509601,0.17453292
3641,-0.07497338,-0.8962383,0.26346448,0.34888726,0.17453292
3661,-0.07748514,-0.8967558,0.26233855,0.3478557,0.17453292
3682,-0.07918027,-0.8975827,0.26060164,0.34664464,0.17453292
3701,-0.08011893,-0.8985761,0.2575939,0.3461031,0.17453292
3721,-0.08010849,-0.89904916,0.25646064,0.34571835,0.17453292
3741,-0.079367645,-0.89936936,0.2574981,0.34428224,0.17453292
3762,-0.076611556,-0.9001124,0.26215404,0.33941656,0.17453292
3781,-0.0672967,-0.9026413,0.27216887,0.3265485,0.17453292
3801,-0.051817752,-0.9078675,0.28525656,0.3028534,0.17453292
3821,-0.044266224,-0.91024226,0.28852332,0.29369003,0.17453292
3841,-0.040183447,-0.91060024,0.28522292,0.29637882,0.17453292
3862,-0.032855216,-0.91146654,0.2826299,0.297102,0.17453292
3881,-0.028262865,-0.9129839,0.2783186,0.2969854,0.17453292
3901,-0.026493998,-0.9141923,0.2740914,0.29736236,0.17453292
3921,-0.027866676,-0.9142551,0.27042237,0.3003878,0.17453292
3942,-0.028737152,-0.9151815,0.26771152,0.29991242,0.17453292
3961,-0.02982419,-0.9159192,0.26602095,0.29905748,0.17453292
3981,-0.032187402,-0.9165891,0.26406226,0.2984955,0.17453292
4001,-0.034401778,-0.9169538,0.26262328,0.29839775,0.17453292
4022,-0.036053486,-0.9170154,0.2634976,0.29724053,0.17453292
4041,-0.038613677,-0.91561675,0.2643535,0.30045322,0.17453292
4061,-0.042052165,-0.9137508,0.2756453,0.29548392,0.17453292
4082,-0.05019027,-0.91103613,0.28517732,0.2935439,0.17453292
4101,-0.055190984,-0.90955955,0.29107943,0.29142433,0.17453292
4122,-0.059950143,-0.90758544,0.2993791,0.28821313,0.17453292
