Timestamp,Milliseconds,centimeters
2018-09-09 22:39:04,2,0.0
2018-09-09 22:39:04,21,0.0
2018-09-09 22:39:04,42,0.0
2018-09-09 22:39:04,61,0.0
2018-09-09 22:39:04,81,0.0
2018-09-09 22:39:04,101,0.0
2018-09-09 22:39:04,122,0.0
2018-09-09 22:39:04,141,0.0
2018-09-09 22:39:04,161,0.0
2018-09-09 22:39:04,182,0.0
2018-09-09 22:39:04,201,0.0
2018-09-09 22:39:04,221,0.0
2018-09-09 22:39:04,242,0.0
2018-09-09 22:39:04,261,0.0
2018-09-09 22:39:04,282,0.0
2018-09-09 22:39:04,301,0.0
2018-09-09 22:39:04,321,0.0
2018-09-09 22:39:04,342,0.0
2018-09-09 22:39:04,361,0.0
2018-09-09 22:39:05,381,0.0
2018-09-09 22:39:05,402,0.0
2018-09-09 22:39:05,421,0.0
2018-09-09 22:39:05,441,0.0
2018-09-09 22:39:05,462,0.0
2018-09-09 22:39:05,481,0.0
2018-09-09 22:39:05,501,0.0
2018-09-09 22:39:05,522,0.0
2018-09-09 22:39:05,541,0.0
2018-09-09 22:39:05,562,0.0
2018-09-09 22:39:05,581,0.0
2018-09-09 22:39:05,601,0.0
2018-09-09 22:39:05,622,0.0
2018-09-09 22:39:05,641,0.0
2018-09-09 22:39:05,662,0.0
2018-09-09 22:39:05,681,0.0
2018-09-09 22:39:05,701,0.0
2018-09-09 22:39:05,722,0.0
2018-09-09 22:39:05,741,0.0
2018-09-09 22:39:05,761,0.0
2018-09-09 22:39:05,782,0.0
2018-09-09 22:39:05,801,0.0
2018-09-09 22:39:05,822,0.0
2018-09-09 22:39:05,841,0.0
2018-09-09 22:39:05,861,0.0
2018-09-09 22:39:05,881,0.0
2018-09-09 22:39:05,902,0.0
2018-09-09 22:39:05,921,0.0
2018-09-09 22:39:05,942,0.0
2018-09-09 22:39:05,961,0.0
2018-09-09 22:39:05,981,0.0
2018-09-09 22:39:05,1002,0.0
2018-09-09 22:39:05,1021,0.0
2018-09-09 22:39:05,1041,0.0
2018-09-09 22:39:05,1062,0.0
2018-09-09 22:39:05,1081,0.0
2018-09-09 22:39:05,1101,0.0
2018-09-09 22:39:05,1121,0.0
2018-09-09 22:39:05,1142,0.0
2018-09-09 22:39:05,1161,0.0
2018-09-09 22:39:05,1181,0.0
2018-09-09 22:39:05,1203,0.0
2018-09-09 22:39:05,1222,0.0
2018-09-09 22:39:05,1241,0.0
2018-09-09 22:39:05,1261,0.0
2018-09-09 22:39:05,1282,0.0
2018-09-09 22:39:05,1301,0.0
2018-09-09 22:39:05,1322,0.0
2018-09-09 22:39:05,1341,0.0
2018-09-09 22:39:05,1361,0.0
2018-09-09 22:39:06,1381,0.0
2018-09-09 22:39:06,1402,0.0
2018-09-09 22:39:06,1421,0.0
2018-09-09 22:39:06,1441,0.0
2018-09-09 22:39:06,1461,0.0
2018-09-09 22:39:06,1481,0.0
2018-09-09 22:39:06,1501,0.0
2018-09-09 22:39:06,1522,0.0
2018-09-09 22:39:06,1541,0.0
2018-09-09 22:39:06,1561,0.0
2018-09-09 22:39:06,1581,0.0
2018-09-09 22:39:06,1602,0.0
2018-09-09 22:39:06,1621,0.0
2018-09-09 22:39:06,1641,0.0
2018-09-09 22:39:06,1661,0.0
2018-09-09 22:39:06,1682,0.0
2018-09-09 22:39:06,1701,0.0
2018-09-09 22:39:06,1721,0.0
2018-09-09 22:39:06,1742,0.0
2018-09-09 22:39:06,1761,0.0
2018-09-09 22:39:06,1781,0.0
2018-09-09 22:39:06,1802,0.0
2018-09-09 22:39:06,1821,0.0
2018-09-09 22:39:06,1841,0.0
2018-09-09 22:39:06,1861,0.0
2018-09-09 22:39:06,1882,0.0
2018-09-09 22:39:06,1901,0.0
2018-09-09 22:39:06,1921,0.0
2018-09-09 22:39:06,1942,0.0
2018-09-09 22:39:06,1961,0.0
2018-09-09 22:39:06,1981,0.0
2018-09-09 22:39:06,2002,0.0
2018-09-09 22:39:06,2021,0.0
2018-09-09 22:39:06,2042,0.0
2018-09-09 22:39:06,2061,0.0
2018-09-09 22:39:06,2081,0.0
2018-09-09 22:39:06,2101,0.0
2018-09-09 22:39:06,2121,0.0
2018-09-09 22:39:06,2142,0.0
2018-09-09 22:39:06,2161,0.0
2018-09-09 22:39:06,2181,0.0
2018-09-09 22:39:06,2202,0.0
2018-09-09 22:39:06,2221,0.0
2018-09-09 22:39:06,2241,0.0
2018-09-09 22:39:06,2261,0.0
2018-09-09 22:39:06,2281,0.0
2018-09-09 22:39:06,2302,0.0
2018-09-09 22:39:06,2321,0.0
2018-09-09 22:39:06,2341,0.0
2018-09-09 22:39:06,2361,0.0
2018-09-09 22:39:07,2382,0.0
2018-09-09 22:39:07,2401,0.0
2018-09-09 22:39:07,2422,0.0
2018-09-09 22:39:07,2441,0.0
2018-09-09 22:39:07,2461,0.0
2018-09-09 22:39:07,2481,0.0
2018-09-09 22:39:07,2502,0.0
2018-09-09 22:39:07,2521,0.0
2018-09-09 22:39:07,2541,0.0
2018-09-09 22:39:07,2561,0.0
2018-09-09 22:39:07,2582,0.0
2018-09-09 22:39:07,2601,0.0
2018-09-09 22:39:07,2621,0.0
2018-09-09 22:39:07,2642,0.0
2018-09-09 22:39:07,2661,0.0
2018-09-09 22:39:07,2681,0.0
