Timestamp,Milliseconds,Millibars
2018-09-09 21:56:53,1,0.0
2018-09-09 21:56:53,100,0.0
2018-09-09 21:56:54,200,0.0
2018-09-09 21:56:54,300,0.0
2018-09-09 21:56:54,400,0.0
2018-09-09 21:56:54,501,0.0
2018-09-09 21:56:54,600,0.0
2018-09-09 21:56:54,700,0.0
2018-09-09 21:56:54,801,0.0
2018-09-09 21:56:54,900,0.0
2018-09-09 21:56:54,1000,0.0
2018-09-09 21:56:54,1100,0.0
2018-09-09 21:56:55,1200,0.0
2018-09-09 21:56:55,1300,0.0
2018-09-09 21:56:55,1401,0.0
2018-09-09 21:56:55,1500,0.0
2018-09-09 21:56:55,1600,0.0
2018-09-09 21:56:55,1701,0.0
2018-09-09 21:56:55,1800,0.0
2018-09-09 21:56:55,1900,0.0
2018-09-09 21:56:55,2001,0.0
2018-09-09 21:56:55,2100,0.0
2018-09-09 21:56:56,2200,0.0
2018-09-09 21:56:56,2301,0.0
2018-09-09 21:56:56,2400,0.0
2018-09-09 21:56:56,2500,0.0
2018-09-09 21:56:56,2600,0.0
2018-09-09 21:56:56,2701,0.0
2018-09-09 21:56:56,2800,0.0
2018-09-09 21:56:56,2900,0.0
2018-09-09 21:56:56,3000,0.0
2018-09-09 21:56:56,3100,0.0
2018-09-09 21:56:57,3201,0.0
2018-09-09 21:56:57,3301,0.0
2018-09-09 21:56:57,3400,0.0
2018-09-09 21:56:57,3501,0.0
2018-09-09 21:56:57,3600,0.0
2018-09-09 21:56:57,3701,0.0
2018-09-09 21:56:57,3801,0.0
2018-09-09 21:56:57,3900,0.0
2018-09-09 21:56:57,4001,0.0
2018-09-09 21:56:57,4100,0.0
2018-09-09 21:56:58,4200,0.0
2018-09-09 21:56:58,4301,0.0
2018-09-09 21:56:58,4400,0.0
2018-09-09 21:56:58,4500,0.0
2018-09-09 21:56:58,4600,0.0
2018-09-09 21:56:58,4701,0.0
2018-09-09 21:56:58,4800,0.0
2018-09-09 21:56:58,4900,0.0
2018-09-09 21:56:58,5001,0.0
2018-09-09 21:56:58,5100,0.0
2018-09-09 21:56:59,5200,0.0
2018-09-09 21:56:59,5301,0.0
2018-09-09 21:56:59,5401,0.0
2018-09-09 21:56:59,5500,0.0
2018-09-09 21:56:59,5600,0.0
2018-09-09 21:56:59,5701,0.0
2018-09-09 21:56:59,5800,0.0
2018-09-09 21:56:59,5900,0.0
2018-09-09 21:56:59,6001,0.0
2018-09-09 21:56:59,6100,0.0
2018-09-09 21:57:00,6201,0.0
2018-09-09 21:57:00,6300,0.0
2018-09-09 21:57:00,6400,0.0
2018-09-09 21:57:00,6501,0.0
2018-09-09 21:57:00,6600,0.0
2018-09-09 21:57:00,6700,0.0
2018-09-09 21:57:00,6800,0.0
2018-09-09 21:57:00,6900,0.0
2018-09-09 21:57:00,7000,0.0
2018-09-09 21:57:00,7100,0.0
2018-09-09 21:57:01,7201,0.0
2018-09-09 21:57:01,7301,0.0
2018-09-09 21:57:01,7400,0.0
2018-09-09 21:57:01,7500,0.0
2018-09-09 21:57:01,7600,0.0
2018-09-09 21:57:01,7701,0.0
2018-09-09 21:57:01,7800,0.0
2018-09-09 21:57:01,7900,0.0
2018-09-09 21:57:01,8001,0.0
2018-09-09 21:57:01,8100,0.0
2018-09-09 21:57:02,8200,0.0
2018-09-09 21:57:02,8301,0.0
2018-09-09 21:57:02,8400,0.0
2018-09-09 21:57:02,8500,0.0
2018-09-09 21:57:02,8601,0.0
2018-09-09 21:57:02,8700,0.0
2018-09-09 21:57:02,8800,0.0
2018-09-09 21:57:02,8901,0.0
2018-09-09 21:57:02,9000,0.0
2018-09-09 21:57:02,9100,0.0
2018-09-09 21:57:03,9200,0.0
2018-09-09 21:57:03,9301,0.0
2018-09-09 21:57:03,9400,0.0
2018-09-09 21:57:03,9500,0.0
2018-09-09 21:57:03,9601,0.0
2018-09-09 21:57:03,9700,0.0
2018-09-09 21:57:03,9800,0.0
2018-09-09 21:57:03,9901,0.0
2018-09-09 21:57:03,10000,0.0
2018-09-09 21:57:03,10100,0.0
2018-09-09 21:57:04,10201,0.0
2018-09-09 21:57:04,10300,0.0
2018-09-09 21:57:04,10401,0.0
2018-09-09 21:57:04,10500,0.0
2018-09-09 21:57:04,10600,0.0
2018-09-09 21:57:04,10701,0.0
2018-09-09 21:57:04,10800,0.0
2018-09-09 21:57:04,10901,0.0
2018-09-09 21:57:04,11000,0.0
2018-09-09 21:57:04,11100,0.0
2018-09-09 21:57:05,11201,0.0
2018-09-09 21:57:05,11300,0.0
2018-09-09 21:57:05,11401,0.0
2018-09-09 21:57:05,11500,0.0
2018-09-09 21:57:05,11600,0.0
2018-09-09 21:57:05,11700,0.0
2018-09-09 21:57:05,11800,0.0
2018-09-09 21:57:05,11900,0.0
2018-09-09 21:57:05,12000,0.0
2018-09-09 21:57:05,12100,0.0
2018-09-09 21:57:06,12200,0.0
2018-09-09 21:57:06,12301,0.0
2018-09-09 21:57:06,12400,0.0
2018-09-09 21:57:06,12500,0.0
2018-09-09 21:57:06,12601,0.0
2018-09-09 21:57:06,12700,0.0
2018-09-09 21:57:06,12800,0.0
2018-09-09 21:57:06,12900,0.0
2018-09-09 21:57:06,13001,0.0
2018-09-09 21:57:06,13100,0.0
2018-09-09 21:57:07,13200,0.0
2018-09-09 21:57:07,13301,0.0
2018-09-09 21:57:07,13400,0.0
2018-09-09 21:57:07,13500,0.0
2018-09-09 21:57:07,13601,0.0
2018-09-09 21:57:07,13700,0.0
2018-09-09 21:57:07,13801,0.0
2018-09-09 21:57:07,13900,0.0
2018-09-09 21:57:07,14000,0.0
2018-09-09 21:57:07,14100,0.0
2018-09-09 21:57:08,14201,0.0
2018-09-09 21:57:08,14300,0.0
2018-09-09 21:57:08,14400,0.0
2018-09-09 21:57:08,14500,0.0
2018-09-09 21:57:08,14601,0.0
2018-09-09 21:57:08,14700,0.0
2018-09-09 21:57:08,14800,0.0
2018-09-09 21:57:08,14900,0.0
2018-09-09 21:57:08,15000,0.0
2018-09-09 21:57:08,15100,0.0
2018-09-09 21:57:09,15200,0.0
2018-09-09 21:57:09,15301,0.0
2018-09-09 21:57:09,15400,0.0
2018-09-09 21:57:09,15500,0.0
2018-09-09 21:57:09,15600,0.0
2018-09-09 21:57:09,15701,0.0
2018-09-09 21:57:09,15800,0.0
2018-09-09 21:57:09,15900,0.0
2018-09-09 21:57:09,16001,0.0
2018-09-09 21:57:09,16100,0.0
2018-09-09 21:57:10,16200,0.0
2018-09-09 21:57:10,16300,0.0
2018-09-09 21:57:10,16400,0.0
2018-09-09 21:57:10,16500,0.0
