Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2018-10-03 21:55:26,1,0.06949572,0.08215156,0.7691396,0.62995696,0.17453292
2018-10-03 21:55:26,21,0.06582805,0.078855395,0.77001333,0.6297047,0.17453292
2018-10-03 21:55:26,41,0.06556522,0.07800173,0.77042484,0.629335,0.17453292
2018-10-03 21:55:26,62,0.06687941,0.07803587,0.770588,0.6289926,0.17453292
2018-10-03 21:55:26,81,0.06829114,0.07848397,0.77050036,0.62889254,0.17453292
2018-10-03 21:55:26,102,0.06848389,0.07850818,0.7700907,0.6293701,0.17453292
2018-10-03 21:55:26,122,0.06651094,0.07700493,0.769676,0.63027406,0.17453292
2018-10-03 21:55:26,141,0.062497698,0.07424102,0.7695013,0.6312289,0.17453292
2018-10-03 21:55:26,161,0.05847355,0.07232608,0.76948255,0.6318594,0.17453292
2018-10-03 21:55:26,181,0.057762045,0.07262691,0.7695553,0.63180184,0.17453292
2018-10-03 21:55:26,202,0.0608929,0.07372823,0.76919043,0.63182455,0.17453292
2018-10-03 21:55:26,221,0.06402159,0.074179776,0.7690071,0.63168555,0.17453292
2018-10-03 21:55:26,241,0.06484049,0.072554685,0.7692204,0.63153106,0.17453292
2018-10-03 21:55:26,261,0.06373551,0.07036988,0.76982844,0.63114977,0.17453292
2018-10-03 21:55:26,281,0.06276952,0.06872676,0.77055985,0.6305348,0.17453292
2018-10-03 21:55:26,302,0.063471645,0.06832661,0.77092,0.63006765,0.17453292
2018-10-03 21:55:26,321,0.06484187,0.06849692,0.77116454,0.6296102,0.17453292
2018-10-03 21:55:26,341,0.065831415,0.06942245,0.7712826,0.6292614,0.17453292
2018-10-03 21:55:26,361,0.06633762,0.071377605,0.77111936,0.6291895,0.17453292
2018-10-03 21:55:26,382,0.067311525,0.074023716,0.770716,0.62927455,0.17453292
2018-10-03 21:55:26,401,0.06843071,0.07554944,0.7703086,0.6294713,0.17453292
2018-10-03 21:55:26,421,0.06948481,0.07597058,0.7700123,0.62966764,0.17453292
2018-10-03 21:55:26,442,0.06785934,0.07515076,0.7698913,0.63009113,0.17453292
2018-10-03 21:55:26,461,0.065930754,0.07489357,0.76992136,0.6302898,0.17453292
2018-10-03 21:55:26,481,0.063900895,0.07523752,0.7701605,0.6301657,0.17453292
2018-10-03 21:55:26,502,0.06315717,0.076977886,0.7705088,0.6296044,0.17453292
2018-10-03 21:55:26,521,0.062636785,0.078829825,0.77070594,0.62918586,0.17453292
2018-10-03 21:55:26,541,0.058368757,0.08213804,0.77132404,0.62841517,0.17453292
2018-10-03 21:55:26,561,0.051160593,0.08484704,0.7718809,0.62799954,0.17453292
2018-10-03 21:55:26,583,0.04382973,0.08720949,0.7714309,0.6287828,0.17453292
2018-10-03 21:55:26,601,0.03856003,0.09027713,0.7698527,0.6306267,0.17453292
2018-10-03 21:55:26,622,0.035664037,0.09567406,0.7670442,0.6334175,0.17453292
2018-10-03 21:55:26,641,0.034673657,0.10445106,0.76236194,0.63772404,0.17453292
2018-10-03 21:55:26,661,0.036413822,0.11604815,0.75535184,0.6439336,0.17453292
2018-10-03 21:55:26,681,0.042526264,0.12930909,0.7464717,0.65134525,0.17453292
2018-10-03 21:55:26,701,0.054238997,0.13907011,0.7361744,0.6601249,0.17453292
2018-10-03 21:55:26,722,0.06837007,0.14993046,0.7245245,0.6692613,0.17453292
2018-10-03 21:55:26,741,0.083510116,0.16030712,0.7130812,0.6773794,0.17453292
2018-10-03 21:55:26,761,0.096970335,0.17026143,0.7012754,0.68543464,0.17453292
2018-10-03 21:55:26,781,0.10818676,0.17603745,0.6894573,0.69422984,0.17453292
2018-10-03 21:55:26,802,0.11729116,0.1759813,0.6781875,0.70380044,0.17453292
2018-10-03 21:55:26,821,0.12613694,0.16951738,0.6680479,0.71348816,0.17453292
2018-10-03 21:55:26,841,0.13739088,0.15697326,0.65829974,0.7232735,0.17453292
2018-10-03 21:55:26,862,0.15135379,0.13888477,0.64861596,0.73287135,0.17453292
2018-10-03 21:55:26,881,0.16842763,0.115616955,0.63728595,0.7430555,0.17453292
2018-10-03 21:55:26,901,0.18763138,0.090280294,0.62343115,0.75364286,0.17453292
2018-10-03 21:55:26,922,0.20808709,0.0693169,0.60910493,0.7621589,0.17453292
2018-10-03 21:55:26,941,0.2337461,0.051140033,0.59325856,0.7686298,0.17453292
2018-10-03 21:55:26,961,0.26420176,0.033446472,0.57736325,0.77183574,0.17453292
2018-10-03 21:55:27,982,0.29194823,0.0145445615,0.5669386,0.7701528,0.17453292
2018-10-03 21:55:27,1001,0.31371307,-0.007416468,0.5571306,0.76885283,0.17453292
2018-10-03 21:55:27,1022,0.33614582,-0.034075715,0.54575276,0.7668108,0.17453292
2018-10-03 21:55:27,1041,0.36181527,-0.063308455,0.53348637,0.76188844,0.17453292
2018-10-03 21:55:27,1061,0.39037243,-0.0934819,0.51962507,0.75422823,0.17453292
2018-10-03 21:55:27,1082,0.42320558,-0.12779461,0.5015639,0.7436392,0.17453292
2018-10-03 21:55:27,1101,0.45742127,-0.16384499,0.47938883,0.7308262,0.17453292
2018-10-03 21:55:27,1121,0.4936738,-0.2015853,0.45150146,0.7153992,0.17453292
2018-10-03 21:55:27,1142,0.53524363,-0.24502558,0.4138336,0.6944195,0.17453292
2018-10-03 21:55:27,1161,0.57859284,-0.29200572,0.36846846,0.6664788,0.17453292
2018-10-03 21:55:27,1181,0.6179244,-0.33831033,0.32134524,0.6328134,0.17453292
2018-10-03 21:55:27,1201,0.6476133,-0.37538102,0.28280964,0.5997539,0.17453292
