Milliseconds,X,Y,Z,cos,headingAccuracy
1840,0.27839935,-0.32288572,-0.7909969,0.4388195,0.17453292
1861,0.2745391,-0.32683393,-0.7902827,0.43961468,0.17453292
1880,0.273519,-0.32985643,-0.7888354,0.44059142,0.17453292
1900,0.2719721,-0.33295634,-0.78780675,0.44105756,0.17453292
1920,0.26892653,-0.33641094,-0.7872703,0.44126144,0.17453292
1941,0.2661975,-0.33884585,-0.7867404,0.4419976,0.17453292
1960,0.2641412,-0.34001392,-0.78635126,0.44302553,0.17453292
1980,0.26241174,-0.34082082,-0.7860572,0.44395426,0.17453292
2001,0.2613355,-0.34159648,-0.7857028,0.44461966,0.17453292
2020,0.26143563,-0.34162113,-0.7852133,0.445406,0.17453292
2040,0.26157978,-0.34026688,-0.7853093,0.44618797,0.17453292
2060,0.2604354,-0.33815816,-0.78616524,0.4469527,0.17453292
2081,0.25856507,-0.335871,-0.7872476,0.44785708,0.17453292
2100,0.25666153,-0.3335957,-0.7882576,0.44887498,0.17453292
2120,0.25494513,-0.3314693,-0.7890918,0.4499613,0.17453292
2140,0.25316063,-0.33021188,-0.7896443,0.45092314,0.17453292
2161,0.25091657,-0.3308253,-0.7898748,0.45132393,0.17453292
2180,0.24776939,-0.3339694,-0.7898641,0.45076537,0.17453292
2201,0.24080096,-0.340312,-0.7910985,0.44762242,0.17453292
2220,0.2274448,-0.35065284,-0.79411095,0.44124737,0.17453292
2240,0.2096427,-0.3635708,-0.7981571,0.4322169,0.17453292
2260,0.19153027,-0.3758271,-0.80243117,0.4221071,0.17453292
2281,0.17609349,-0.3857172,-0.8058052,0.41338995,0.17453292
2300,0.15911573,-0.393528,-0.8066996,0.41116142,0.17453292
2320,0.13578267,-0.3979488,-0.80758256,0.41353387,0.17453292
2340,0.10403032,-0.40205666,-0.80909854,0.41579762,0.17453292
2361,0.062442027,-0.40722397,-0.8088675,0.41952708,0.17453292
2380,0.034558896,-0.41204557,-0.8066011,0.42239648,0.17453292
2400,-0.006293166,-0.4228662,-0.79949355,0.4265614,0.17453292
2421,-0.05339259,-0.44201207,-0.7825456,0.4351976,0.17453292
2440,-0.08402715,-0.45419893,-0.7657199,0.4475666,0.17453292
2460,-0.11131295,-0.46041083,-0.7485595,0.46399352,0.17453292
2481,-0.13569309,-0.46271312,-0.73182875,0.48157102,0.17453292
2500,-0.15774846,-0.46518615,-0.71444607,0.4982811,0.17453292
2520,-0.18038571,-0.47087073,-0.69532704,0.5121153,0.17453292
2540,-0.2068113,-0.48038238,-0.6732982,0.5226197,0.17453292
2561,-0.23419815,-0.4945786,-0.6482889,0.52940035,0.17453292
2580,-0.25819692,-0.51087594,-0.6214355,0.5349374,0.17453292
2600,-0.27698305,-0.52431935,-0.5959931,0.5414442,0.17453292
2620,-0.29210088,-0.533325,-0.5746535,0.5477361,0.17453292
2641,-0.30394536,-0.539047,-0.55797553,0.5529095,0.17453292
2660,-0.3131742,-0.5434301,-0.54377645,0.5575956,0.17453292
2680,-0.32247585,-0.551441,-0.5287625,0.558867,0.17453292
2701,-0.33247504,-0.5640805,-0.51125646,0.556678,0.17453292
2720,-0.3419211,-0.57867414,-0.49207512,0.55325246,0.17453292
2740,-0.34940884,-0.5926841,-0.47246233,0.55083424,0.17453292
2760,-0.35621426,-0.6058762,-0.45194757,0.5493349,0.17453292
2780,-0.36184072,-0.6186458,-0.43094084,0.5483053,0.17453292
2801,-0.36438146,-0.6312315,-0.41002765,0.5483159,0.17453292
2820,-0.36412767,-0.643268,-0.38952112,0.54944575,0.17453292
2840,-0.36058778,-0.6554066,-0.37180054,0.54971176,0.17453292
2861,-0.35410857,-0.669014,-0.35715178,0.5472385,0.17453292
2880,-0.34505758,-0.68192935,-0.34561834,0.54447734,0.17453292
2900,-0.33492583,-0.6911258,-0.337391,0.5443685,0.17453292
2920,-0.32584885,-0.6967247,-0.3321865,0.5459389,0.17453292
2940,-0.31811047,-0.70094186,-0.32917202,0.5469296,0.17453292
2960,-0.31164318,-0.7068977,-0.3264158,0.54463464,0.17453292
2981,-0.3047367,-0.7147967,-0.32307243,0.5402087,0.17453292
3000,-0.29745084,-0.72215295,-0.31883407,0.5369944,0.17453292
3020,-0.2910307,-0.7273554,-0.31401622,0.53632927,0.17453292
3040,-0.28502044,-0.73187006,-0.30937755,0.5361111,0.17453292
3061,-0.27850032,-0.7380564,-0.30485773,0.5336404,0.17453292
3080,-0.27124447,-0.7448848,-0.3011676,0.5299728,0.17453292
3100,-0.26351485,-0.74981904,-0.29992735,0.52761245,0.17453292
3120,-0.25595284,-0.75112045,-0.3016667,0.5284917,0.17453292
3141,-0.25063133,-0.7495866,-0.3051541,0.5312108,0.17453292
3160,-0.24994697,-0.74783534,-0.3104084,0.5309571,0.17453292
3180,-0.25055692,-0.7471606,-0.31494316,0.52894527,0.17453292
3200,-0.25034148,-0.7495481,-0.31633002,0.5248258,0.17453292
3220,-0.251356,-0.7547009,-0.31555444,0.5173704,0.17453292
3241,-0.25507897,-0.76194996,-0.31321383,0.5062253,0.17453292
3260,-0.258916,-0.7656325,-0.31053084,0.50033987,0.17453292
3280,-0.26718906,-0.7684595,-0.30575553,0.49456406,0.17453292
3300,-0.2711729,-0.7720271,-0.29460508,0.49360642,0.17453292
3321,-0.2724159,-0.779623,-0.28232527,0.48812908,0.17453292
3340,-0.2751932,-0.78902006,-0.2751462,0.47540572,0.17453292
3360,-0.27848846,-0.79323477,-0.2727392,0.46779925,0.17453292
3380,-0.28363973,-0.7952203,-0.27240738,0.4614839,0.17453292
3401,-0.2900156,-0.79374087,-0.27300817,0.45970955,0.17453292
3421,-0.296012,-0.7901086,-0.274462,0.46127635,0.17453292
