Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2018-09-09 22:31:20,4,-0.28655934,-0.7275764,0.3045243,0.5438578,0.17453292
2018-09-09 22:31:20,21,-0.2865914,-0.7280621,0.3046694,0.54310906,0.17453292
2018-09-09 22:31:20,41,-0.28639638,-0.72883683,0.30474955,0.5421271,0.17453292
2018-09-09 22:31:20,61,-0.2863203,-0.72917616,0.3044369,0.5418865,0.17453292
2018-09-09 22:31:20,83,-0.28589064,-0.7299774,0.30385455,0.54136115,0.17453292
2018-09-09 22:31:20,101,-0.28559378,-0.7304646,0.303212,0.541221,0.17453292
2018-09-09 22:31:20,121,-0.2856174,-0.7304676,0.30265298,0.54151726,0.17453292
2018-09-09 22:31:20,142,-0.28529066,-0.7310046,0.30240068,0.5411057,0.17453292
2018-09-09 22:31:20,161,-0.28528893,-0.73097867,0.30239034,0.5411474,0.17453292
2018-09-09 22:31:20,183,-0.2854937,-0.7307217,0.3026685,0.54123086,0.17453292
2018-09-09 22:31:20,202,-0.28570306,-0.73065174,0.30268186,0.54120743,0.17453292
2018-09-09 22:31:20,222,-0.28605437,-0.7305543,0.3022943,0.54137003,0.17453292
2018-09-09 22:31:20,242,-0.28625268,-0.7304633,0.30189452,0.541611,0.17453292
2018-09-09 22:31:20,261,-0.28669012,-0.73014206,0.3014768,0.5420453,0.17453292
2018-09-09 22:31:20,282,-0.28685758,-0.7299006,0.30112037,0.5424798,0.17453292
2018-09-09 22:31:20,301,-0.28669605,-0.729625,0.30090564,0.5430548,0.17453292
2018-09-09 22:31:20,321,-0.28679273,-0.72926635,0.30030143,0.5438194,0.17453292
2018-09-09 22:31:20,341,-0.2870744,-0.72905743,0.2993265,0.544488,0.17453292
2018-09-09 22:31:20,362,-0.2878068,-0.728386,0.29856107,0.5454195,0.17453292
2018-09-09 22:31:20,381,-0.28797904,-0.72804266,0.2987978,0.5456573,0.17453292
2018-09-09 22:31:20,401,-0.2877695,-0.7281115,0.29891735,0.5456105,0.17453292
2018-09-09 22:31:20,421,-0.28790492,-0.7280892,0.29796636,0.5460887,0.17453292
2018-09-09 22:31:20,442,-0.28814763,-0.72832537,0.29647285,0.54645854,0.17453292
2018-09-09 22:31:20,461,-0.28875062,-0.7286226,0.29385614,0.54715693,0.17453292
2018-09-09 22:31:20,481,-0.28927433,-0.7280361,0.29222128,0.54853487,0.17453292
2018-09-09 22:31:20,501,-0.28905907,-0.7276906,0.29251552,0.54894984,0.17453292
2018-09-09 22:31:20,521,-0.28911862,-0.72703767,0.29319757,0.5494195,0.17453292
2018-09-09 22:31:20,542,-0.2894862,-0.72664076,0.2931069,0.5497993,0.17453292
2018-09-09 22:31:20,561,-0.2901571,-0.7262998,0.29277045,0.55007535,0.17453292
2018-09-09 22:31:20,581,-0.29189003,-0.72566736,0.292303,0.5502418,0.17453292
2018-09-09 22:31:20,601,-0.29330122,-0.72519755,0.2926145,0.5499452,0.17453292
2018-09-09 22:31:20,621,-0.29400498,-0.72521603,0.29401174,0.54879856,0.17453292
2018-09-09 22:31:20,642,-0.29405093,-0.72608465,0.295291,0.5469354,0.17453292
2018-09-09 22:31:20,661,-0.2938697,-0.7271226,0.2954056,0.54559034,0.17453292
2018-09-09 22:31:20,681,-0.29369697,-0.7277368,0.2952344,0.5449568,0.17453292
2018-09-09 22:31:20,701,-0.29465374,-0.72777265,0.2950134,0.5445119,0.17453292
2018-09-09 22:31:20,722,-0.29616696,-0.72805625,0.29464287,0.54351157,0.17453292
2018-09-09 22:31:20,741,-0.2973897,-0.729142,0.29386514,0.54180676,0.17453292
2018-09-09 22:31:20,762,-0.29796413,-0.73030925,0.29271522,0.5405401,0.17453292
2018-09-09 22:31:20,781,-0.2977389,-0.73112756,0.29257017,0.5396357,0.17453292
2018-09-09 22:31:20,801,-0.2967176,-0.73206806,0.2933854,0.5384794,0.17453292
2018-09-09 22:31:20,821,-0.29550883,-0.733081,0.29412195,0.53736305,0.17453292
2018-09-09 22:31:20,842,-0.29433203,-0.7342629,0.29360586,0.53667706,0.17453292
2018-09-09 22:31:21,861,-0.2940541,-0.7348116,0.29221883,0.53683543,0.17453292
2018-09-09 22:31:21,881,-0.29441625,-0.73450124,0.29119948,0.53761494,0.17453292
2018-09-09 22:31:21,902,-0.29412153,-0.7339855,0.29239026,0.53783435,0.17453292
2018-09-09 22:31:21,921,-0.29294676,-0.7340958,0.29465944,0.53708595,0.17453292
2018-09-09 22:31:21,941,-0.29105148,-0.73502165,0.29599726,0.5361136,0.17453292
2018-09-09 22:31:21,962,-0.2885739,-0.7365109,0.29656446,0.53509474,0.17453292
2018-09-09 22:31:21,981,-0.28624827,-0.7380552,0.29592615,0.53456914,0.17453292
2018-09-09 22:31:21,1001,-0.2850964,-0.73860323,0.29392835,0.53552914,0.17453292
2018-09-09 22:31:21,1022,-0.28515697,-0.73772776,0.29144767,0.53805345,0.17453292
2018-09-09 22:31:21,1041,-0.28512645,-0.7369697,0.29112783,0.5392802,0.17453292
2018-09-09 22:31:21,1061,-0.28446877,-0.73698056,0.29219997,0.53903276,0.17453292
2018-09-09 22:31:21,1081,-0.28278574,-0.7379806,0.29399285,0.53757334,0.17453292
2018-09-09 22:31:21,1101,-0.28094846,-0.73888886,0.29560465,0.5364039,0.17453292
2018-09-09 22:31:21,1121,-0.28021434,-0.73907936,0.29550546,0.53658,0.17453292
2018-09-09 22:31:21,1142,-0.2801899,-0.73861754,0.29480556,0.53761274,0.17453292
2018-09-09 22:31:21,1161,-0.2799556,-0.7385008,0.29463026,0.53799117,0.17453292
2018-09-09 22:31:21,1181,-0.27990744,-0.7380445,0.2955729,0.5381252,0.17453292
2018-09-09 22:31:21,1202,-0.28012326,-0.73709005,0.29628226,0.5389304,0.17453292
2018-09-09 22:31:21,1221,-0.28000516,-0.73619074,0.2974208,0.53959346,0.17453292
2018-09-09 22:31:21,1241,-0.27970713,-0.7351331,0.29874435,0.5404582,0.17453292
2018-09-09 22:31:21,1262,-0.27929482,-0.73398346,0.3001387,0.54146045,0.17453292
