Milliseconds,X,Y,Z,cos,headingAccuracy
2,0.40816143,-0.13916281,-0.2842388,0.856298,0.17453292
21,0.40316623,-0.14015159,-0.28546104,0.8580947,0.17453292
42,0.40032378,-0.13976131,-0.28568575,0.8594133,0.17453292
61,0.39900562,-0.13864036,-0.28578305,0.8601752,0.17453292
82,0.3993742,-0.13749924,-0.28600687,0.86011297,0.17453292
101,0.40020466,-0.13682067,-0.28629357,0.85973966,0.17453292
121,0.4016783,-0.13652179,-0.287223,0.85878944,0.17453292
141,0.40183803,-0.13643204,-0.2881691,0.85841197,0.17453292
162,0.40133142,-0.13541636,-0.28888473,0.8585692,0.17453292
181,0.4008347,-0.13412756,-0.2893132,0.85885924,0.17453292
201,0.40050116,-0.13358966,-0.28964353,0.85898733,0.17453292
221,0.40065742,-0.13367432,-0.28975263,0.8588645,0.17453292
241,0.40127662,-0.13422021,-0.2901078,0.85837024,0.17453292
261,0.40183777,-0.13489649,-0.29069513,0.8578028,0.17453292
281,0.40247145,-0.13503253,-0.29095727,0.85739535,0.17453292
301,0.4032559,-0.13505127,-0.2910123,0.85700506,0.17453292
321,0.40391347,-0.13514328,-0.29095605,0.85669994,0.17453292
342,0.40444863,-0.13517958,-0.29077706,0.8565025,0.17453292
361,0.4050476,-0.13514328,-0.29055995,0.8562988,0.17453292
382,0.40558568,-0.13501088,-0.29054505,0.85607004,0.17453292
401,0.40597838,-0.1344502,-0.29071662,0.8559139,0.17453292
421,0.40610412,-0.13353305,-0.2909695,0.85591185,0.17453292
442,0.4059723,-0.13247228,-0.29113126,0.8560842,0.17453292
461,0.40629855,-0.13108334,-0.29155365,0.85599947,0.17453292
481,0.406824,-0.13005121,-0.29178333,0.85582906,0.17453292
502,0.40732145,-0.12974608,-0.29188174,0.8556052,0.17453292
521,0.40804654,-0.12950866,-0.29219434,0.85518885,0.17453292
541,0.40907246,-0.12931879,-0.29211324,0.85475504,0.17453292
562,0.4099805,-0.1289527,-0.29181978,0.8544755,0.17453292
581,0.41070583,-0.12843056,-0.29182762,0.8542031,0.17453292
601,0.41120654,-0.12780929,-0.29175904,0.8540788,0.17453292
622,0.41186947,-0.12753698,-0.29170355,0.853819,0.17453292
641,0.4129535,-0.12745401,-0.29157853,0.85335034,0.17453292
662,0.41393796,-0.12733641,-0.2915828,0.85288936,0.17453292
681,0.41480583,-0.1266819,-0.29170328,0.8525239,0.17453292
702,0.41620812,-0.12513383,-0.29139692,0.8521738,0.17453292
721,0.41726032,-0.124154024,-0.2910646,0.8519161,0.17453292
742,0.41841504,-0.12217074,-0.29044044,0.8518495,0.17453292
762,0.41851297,-0.12140159,-0.29051855,0.85188466,0.17453292
781,0.41838318,-0.12120343,-0.29105476,0.85179365,0.17453292
802,0.41826028,-0.12138814,-0.29164615,0.8516254,0.17453292
821,0.41876447,-0.12134423,-0.2919341,0.85128516,0.17453292
841,0.4196189,-0.12094299,-0.29155982,0.8510497,0.17453292
862,0.42031568,-0.12056765,-0.29101473,0.8509457,0.17453292
881,0.4202829,-0.12057914,-0.29051563,0.8511308,0.17453292
901,0.4197103,-0.121091686,-0.29052892,0.851336,0.17453292
921,0.41956776,-0.12155399,-0.29041335,0.8513798,0.17453292
941,0.41988924,-0.12181609,-0.28928718,0.85156727,0.17453292
962,0.42022863,-0.121676214,-0.2884603,0.8517003,0.17453292
981,0.4206039,-0.12166622,-0.288088,0.85164255,0.17453292
1001,0.4211763,-0.12186312,-0.28804958,0.8513444,0.17453292
1022,0.42168495,-0.12204446,-0.2881581,0.8510299,0.17453292
1041,0.4223708,-0.12175032,-0.28788695,0.85082364,0.17453292
1061,0.4231501,-0.12113906,-0.28712893,0.85077983,0.17453292
1081,0.42384186,-0.12083797,-0.2867169,0.85061723,0.17453292
1101,0.42422456,-0.121149935,-0.28661713,0.8504157,0.17453292
1122,0.42460716,-0.12169588,-0.28625998,0.85026705,0.17453292
1141,0.4249574,-0.12207262,-0.28584826,0.8501766,0.17453292
1161,0.4251538,-0.12217557,-0.2851872,0.8502856,0.17453292
1181,0.4253963,-0.122682504,-0.28452742,0.8503124,0.17453292
1202,0.42604262,-0.123583436,-0.28377834,0.8501086,0.17453292
1221,0.4272609,-0.12447534,-0.28317893,0.84956676,0.17453292
1241,0.42878732,-0.12453645,-0.28224543,0.8490993,0.17453292
1261,0.42983848,-0.124140956,-0.28128543,0.8489443,0.17453292
1282,0.4307777,-0.123805456,-0.28020528,0.84887445,0.17453292
1301,0.43191573,-0.12380113,-0.2796551,0.84847814,0.17453292
1321,0.4329793,-0.123175584,-0.27884716,0.84829295,0.17453292
1341,0.43323866,-0.1221053,-0.2788177,0.84832495,0.17453292
1362,0.43250373,-0.12062719,-0.2791193,0.8488121,0.17453292
1381,0.43159756,-0.119289614,-0.27975073,0.8492544,0.17453292
1401,0.43105644,-0.11842436,-0.2805639,0.8493821,0.17453292
1421,0.4306988,-0.117692396,-0.28118855,0.8494587,0.17453292
1442,0.43043557,-0.11666671,-0.28148067,0.84963685,0.17453292
1461,0.43051064,-0.116196886,-0.28182662,0.8495485,0.17453292
1481,0.43118244,-0.11720958,-0.2833416,0.8485642,0.17453292
1501,0.43229482,-0.11833814,-0.2849055,0.84731704,0.17453292
1522,0.43165314,-0.12019227,-0.28846496,0.8461781,0.17453292
1541,0.42999497,-0.12168598,-0.29331994,0.8451392,0.17453292
1561,0.42805076,-0.12302273,-0.29938453,0.84380496,0.17453292
1581,0.42495772,-0.123249196,-0.30322215,0.843965,0.17453292
1602,0.42148173,-0.12193933,-0.30290228,0.84601074,0.17453292
1621,0.4164263,-0.11997887,-0.29990676,0.849853,0.17453292
1641,0.40871638,-0.12043972,-0.29878667,0.8539155,0.17453292
1661,0.39916533,-0.12407488,-0.30240047,0.8566367,0.17453292
1682,0.38822022,-0.13035162,-0.3083179,0.8586231,0.17453292
1701,0.3736938,-0.13941681,-0.31437525,0.86144304,0.17453292
1721,0.3508826,-0.15904981,-0.32325324,0.8643448,0.17453292
1741,0.32280448,-0.19267227,-0.3372945,0.86308,0.17453292
1762,0.2919326,-0.24018277,-0.3392922,0.86137587,0.17453292
1781,0.2707189,-0.28436413,-0.3330454,0.8572801,0.17453292
1801,0.25822142,-0.32718146,-0.3081243,0.8551803,0.17453292
1822,0.24881253,-0.37255773,-0.26837352,0.8528005,0.17453292
1841,0.24337095,-0.4258624,-0.22947076,0.8406872,0.17453292
1861,0.23683758,-0.4819482,-0.17561302,0.8251024,0.17453292
1881,0.21739051,-0.5285236,-0.1079488,0.8134809,0.17453292
1901,0.20287193,-0.5717406,-0.070699565,0.7918063,0.17453292
1922,0.19021496,-0.6005506,-0.04948533,0.7750538,0.17453292
1941,0.17539492,-0.61401343,-0.022585554,0.76922953,0.17453292
1961,0.1660649,-0.6233185,-5.1714273E-5,0.7641312,0.17453292
1981,0.16445322,-0.6286132,0.019715518,0.75987625,0.17453292
2002,0.1647919,-0.6302227,0.03602917,0.75786865,0.17453292
2021,0.16507922,-0.6301911,0.0489922,0.7571049,0.17453292
2041,0.16490798,-0.6324214,0.059627835,0.7545151,0.17453292
2062,0.16673481,-0.63712955,0.070399016,0.7492059,0.17453292
2081,0.17203866,-0.64537007,0.08274866,0.7396302,0.17453292
2101,0.18120775,-0.65352446,0.09586909,0.7286142,0.17453292
2121,0.19104223,-0.66010666,0.10850372,0.7183237,0.17453292
2142,0.19770531,-0.6670847,0.117876664,0.70853066,0.17453292
2161,0.20251335,-0.6753435,0.124184415,0.698196,0.17453292
2181,0.20791061,-0.68387395,0.13015167,0.6871318,0.17453292
2202,0.21356423,-0.6930551,0.13592643,0.67497325,0.17453292
2221,0.217721,-0.70473486,0.13977954,0.6606118,0.17453292
2241,0.22017904,-0.7178962,0.1402298,0.64535403,0.17453292
2262,0.21895795,-0.73109263,0.13962623,0.6309243,0.17453292
2281,0.21381038,-0.74730134,0.13596006,0.6142806,0.17453292
2301,0.19968055,-0.76462847,0.12988134,0.59883374,0.17453292
2322,0.17190482,-0.78887075,0.11617328,0.57847685,0.17453292
2341,0.15558451,-0.8083441,0.10402816,0.5581679,0.17453292
2361,0.13529542,-0.8451009,0.08396683,0.5103423,0.17453292
2381,0.12462087,-0.870546,0.0667897,0.47133687,0.17453292
2402,0.11661707,-0.88631123,0.05565773,0.44469658,0.17453292
2421,0.11145823,-0.8962944,0.053862333,0.42583126,0.17453292
2441,0.11140557,-0.90286577,0.057073615,0.41129652,0.17453292
2461,0.11491859,-0.90918624,0.06112533,0.39552224,0.17453292
2482,0.11905188,-0.91450197,0.06216246,0.38163942,0.17453292
2501,0.12543498,-0.91172296,0.052104402,0.38770142,0.17453292
2521,0.123948485,-0.9048216,0.03155621,0.40612674,0.17453292
2541,0.10990506,-0.89745337,0.009293457,0.42709714,0.17453292
2561,0.09152057,-0.8912121,-0.0053940327,0.44422504,0.17453292
2582,0.07572783,-0.8849586,-0.013485416,0.459273,0.17453292
2601,0.06237048,-0.879794,-0.011497507,0.47110537,0.17453292
2621,0.061172705,-0.87294877,-0.0023341768,0.48395553,0.17453292
2642,0.065416105,-0.86629623,0.007938397,0.49516514,0.17453292
2661,0.07099551,-0.85957307,0.018188503,0.5057301,0.17453292
2681,0.07328327,-0.85205615,0.0310291,0.5173656,0.17453292
2702,0.067484155,-0.84708315,0.044695795,0.5252602,0.17453292
2721,0.070934154,-0.8425178,0.05390412,0.5312499,0.17453292
2741,0.08909086,-0.8400946,0.06507542,0.5311017,0.17453292
2761,0.109400205,-0.83501595,0.083961114,0.5326635,0.17453292
2782,0.12670618,-0.8270852,0.10139422,0.5381402,0.17453292
2801,0.14541237,-0.8234815,0.11643748,0.5358878,0.17453292
2821,0.15225634,-0.82175386,0.11486833,0.5369766,0.17453292
2842,0.16293746,-0.8180658,0.107046165,0.5410738,0.17453292
2861,0.18457854,-0.8122829,0.10132283,0.54393095,0.17453292
2881,0.21084665,-0.8106912,0.098620184,0.5372128,0.17453292
2901,0.22083281,-0.8125489,0.09349805,0.53127706,0.17453292
2922,0.2282512,-0.8133676,0.09144411,0.52723104,0.17453292
2941,0.23654474,-0.812952,0.09007187,0.5244452,0.17453292
2961,0.24162333,-0.80990094,0.08802187,0.5271914,0.17453292
2982,0.24600136,-0.8068887,0.09018454,0.5294154,0.17453292
3001,0.25077447,-0.80017227,0.094353735,0.53659475,0.17453292
3021,0.25426117,-0.78819597,0.09791087,0.55182594,0.17453292
3042,0.25659922,-0.77619207,0.09919861,0.56731147,0.17453292
3061,0.26038083,-0.7680075,0.0981728,0.57682616,0.17453292
3081,0.2654157,-0.7633926,0.096042655,0.5810009,0.17453292
3102,0.27055436,-0.7590368,0.095945366,0.584344,0.17453292
3121,0.27445853,-0.75473565,0.096514404,0.58798945,0.17453292
3141,0.27800047,-0.7544215,0.09663148,0.58670807,0.17453292
3161,0.28371683,-0.75651264,0.0961814,0.5813283,0.17453292
3182,0.2934733,-0.75884765,0.09597152,0.57342225,0.17453292
3201,0.30246818,-0.7615149,0.09495977,0.56532353,0.17453292
3221,0.3078166,-0.7649569,0.091478474,0.55832034,0.17453292
3241,0.3092351,-0.7654455,0.08845998,0.5573524,0.17453292
3262,0.30868876,-0.76376563,0.0879127,0.5600399,0.17453292
